timestamp,active,online,offline
2026-04-27 09:16:01,213,17,196
2026-04-27 09:17:01,213,17,196
2026-04-27 09:18:02,213,17,196
2026-04-27 09:19:01,213,17,196
2026-04-27 09:20:02,213,16,197
2026-04-27 09:21:01,213,16,197
2026-04-27 09:22:01,213,18,195
2026-04-27 09:23:01,213,18,195
2026-04-27 09:24:01,213,18,195
2026-04-27 09:25:02,213,18,195
2026-04-27 09:26:01,213,18,195
2026-04-27 09:27:01,213,18,195
2026-04-27 09:28:01,213,18,195
2026-04-27 09:29:01,213,18,195
2026-04-27 09:30:01,213,19,194
2026-04-27 09:31:01,213,19,194
2026-04-27 09:32:01,213,19,194
2026-04-27 09:33:01,213,18,195
2026-04-27 09:34:01,213,18,195
2026-04-27 09:35:01,213,17,196
2026-04-27 09:36:02,213,17,196
2026-04-27 09:37:01,213,17,196
2026-04-27 09:38:01,213,17,196
2026-04-27 09:39:02,213,17,196
2026-04-27 09:40:01,213,17,196
2026-04-27 09:41:02,213,18,195
2026-04-27 09:42:01,213,18,195
2026-04-27 09:43:02,213,18,195
2026-04-27 09:44:01,213,18,195
2026-04-27 09:45:01,213,18,195
2026-04-27 09:46:02,213,18,195
2026-04-27 09:47:01,213,18,195
2026-04-27 09:48:01,213,18,195
2026-04-27 09:49:02,213,18,195
2026-04-27 09:50:01,213,18,195
2026-04-27 09:51:01,213,18,195
2026-04-27 09:52:01,213,18,195
2026-04-27 09:53:01,213,19,194
2026-04-27 09:54:01,213,19,194
2026-04-27 09:55:01,213,19,194
2026-04-27 09:56:01,213,19,194
2026-04-27 09:57:02,213,19,194
2026-04-27 09:58:01,213,19,194
2026-04-27 09:59:02,213,19,194
2026-04-27 10:00:01,213,19,194
2026-04-27 10:01:01,213,19,194
2026-04-27 10:02:01,213,19,194
2026-04-27 10:03:02,213,19,194
2026-04-27 10:04:01,213,19,194
2026-04-27 10:05:02,213,19,194
2026-04-27 10:06:01,213,19,194
2026-04-27 10:07:02,213,19,194
2026-04-27 10:08:01,213,19,194
2026-04-27 10:09:01,213,19,194
2026-04-27 10:10:02,213,19,194
2026-04-27 10:11:01,213,19,194
2026-04-27 10:12:01,213,19,194
2026-04-27 10:13:01,213,19,194
2026-04-27 10:14:01,213,19,194
2026-04-27 10:15:01,213,19,194
2026-04-27 10:16:01,213,19,194
2026-04-27 10:17:01,213,19,194
2026-04-27 10:18:01,213,19,194
2026-04-27 10:19:01,213,19,194
2026-04-27 10:20:01,213,19,194
2026-04-27 10:21:02,213,19,194
2026-04-27 10:22:01,213,19,194
2026-04-27 10:23:01,213,19,194
2026-04-27 10:24:02,213,19,194
2026-04-27 10:25:01,213,19,194
2026-04-27 10:26:02,213,19,194
2026-04-27 10:27:01,213,19,194
